company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Fastenal,488,$7346.7MM,$1155MM,20721,Wholesalers,Winona,Minnesota,no,no,yes,$44157MM,https://www.fastenal.com,FAST,$4462.9MM,7346.7,1155.0,44157.0,4462.9,0,0,0
Watsco,489,$7283.8MM,$536.3MM,7388,Wholesalers,Miami,Florida,no,no,yes,$17061.3MM,https://www.watsco.com,WSO,$3729.2MM,7283.8,536.3,17061.3,3729.2,0,0,0
Workday,490,$7259MM,$1381MM,18800,Technology,Pleasanton,California,no,no,yes,$72006MM,https://www.workday.com,WDAY,$16452MM,7259.0,1381.0,72006.0,16452.0,0,0,0
Old Republic International,491,$7258.3MM,$598.6MM,9200,Financials,Chicago,Illinois,no,no,yes,$8463.5MM,https://www.oldrepublic.com,ORI,$26501.4MM,7258.3,598.6,8463.5,26501.4,0,0,0
RPM International,492,$7256.4MM,$478.7MM,17274,Chemicals,Medina,Ohio,no,no,yes,$15329.3MM,https://www.rpminc.com,RPM,$6782MM,7256.4,478.7,15329.3,6782.0,0,0,0
UFP Industries,493,$7218.4MM,$514.3MM,15800,Materials,Grand Rapids,Michigan,no,no,yes,$7568.8MM,https://www.ufpi.com,UFPI,$4017.8MM,7218.4,514.3,7568.8,4017.8,0,0,0
Ameren,494,$7213MM,$1152MM,9372,Energy,St. Louis,Missouri,no,no,yes,$19711.1MM,https://www.ameren.com,AEE,$40830MM,7213.0,1152.0,19711.1,40830.0,0,0,0
Knight-Swift Transportation Hldgs.,495,$7141.8MM,$217.1MM,34550,Transportation,Phoenix,Arizona,no,no,yes,$8885.4MM,https://investor.knight-swift.com,KNX,$12870.8MM,7141.8,217.1,8885.4,12870.8,0,0,0
Monster Beverage,496,$7140MM,$1631MM,5629,"Food, Beverages & Tobacco",Corona,California,no,no,yes,$61688.9MM,https://www.monsterbevcorp.com,MNST,$9686.5MM,7140.0,1631.0,61688.9,9686.5,0,0,0
Intuitive Surgical,497,$7124.1MM,$1798MM,13676,Health Care,Sunnyvale,California,no,no,yes,$141456.9MM,https://www.intuitive.com,ISRG,$15441.5MM,7124.1,1798.0,141456.9,15441.5,0,0,0
Super Micro Computer,498,$7123.5MM,$640MM,5126,Technology,San Jose,California,yes,no,yes,$59137.7MM,https://www.supermicro.com,SMCI,$3674.7MM,7123.5,640.0,59137.7,3674.7,0,0,0
Concentrix,499,$7114.7MM,$313.8MM,440000,Technology,Newark,California,no,no,yes,$4342.2MM,https://www.concentrix.com,CNXC,$12491.8MM,7114.7,313.8,4342.2,12491.8,0,0,0
O-I Glass,500,$7105MM,$-103MM,23000,Materials,Perrysburg,Ohio,no,no,no,$2549.4MM,https://www.o-i.com,OI,$9669MM,7105.0,-103.0,2549.4,9669.0,0,0,0
