company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Colgate-Palmolive,207,$19457MM,$2300MM,34000,Household Products,New York,New York,no,no,yes,$74019.9MM,https://www.colgatepalmolive.com,CL,$16393MM,19457.0,2300.0,74019.9,16393.0,0,0,0
Whirlpool,208,$19455MM,$481MM,59000,Industrials,Benton Harbor,Michigan,no,no,yes,$6515.3MM,https://www.whirlpoolcorp.com,WHR,$17312MM,19455.0,481.0,6515.3,17312.0,0,0,0
L3Harris Technologies,209,$19419MM,$1227MM,50000,Aerospace & Defense,Melbourne,Florida,no,no,yes,$40508.1MM,https://www.l3harris.com,LHX,$41687MM,19419.0,1227.0,40508.1,41687.0,0,0,0
Adobe,210,$19409MM,$5428MM,29945,Technology,San Jose,California,no,no,yes,$226060.8MM,https://www.adobe.com,ADBE,$29779MM,19409.0,5428.0,226060.8,29779.0,0,0,0
Becton Dickinson,211,$19372MM,$1484MM,73000,Health Care,Franklin Lakes,New Jersey,no,no,yes,$71488.9MM,https://www.bd.com,BDX,$52780MM,19372.0,1484.0,71488.9,52780.0,0,0,0
Pioneer Natural Resources,212,$19362MM,$4894MM,2213,Energy,Irving,Texas,no,no,yes,$61326.1MM,https://www.pxd.com,PXD,$36613MM,19362.0,4894.0,61326.1,36613.0,0,0,0
Cognizant Technology Solutions,213,$19353MM,$2126MM,347700,Technology,Teaneck,New Jersey,no,no,yes,$36486.8MM,https://www.cognizant.com,CTSH,$18483MM,19353.0,2126.0,36486.8,18483.0,0,0,0
Murphy USA,214,$19238.2MM,$556.8MM,10750,Retailing,El Dorado,Arkansas,no,no,yes,$8726.5MM,https://www.murphyusa.com,MUSA,$4340.1MM,19238.2,556.8,8726.5,4340.1,0,0,0
Fiserv,215,$19093MM,$3068MM,42000,Business Services,Milwaukee,Wisconsin,no,no,yes,$94358.1MM,https://www.fiserv.com,FI,$90890MM,19093.0,3068.0,94358.1,90890.0,0,0,0
Parker-Hannifin,216,$19065.2MM,$2082.9MM,62730,Industrials,Cleveland,Ohio,no,yes,yes,$71369.5MM,https://www.phstock.com,PH,$29964.5MM,19065.2,2082.9,71369.5,29964.5,0,0,0
American Electric Power,217,$18982.3MM,$2208.1MM,17250,Energy,Columbus,Ohio,no,no,yes,$45339.4MM,https://www.aep.com,AEP,$96684MM,18982.3,2208.1,45339.4,96684.0,0,0,0
International Paper,218,$18916MM,$288MM,39000,Materials,Memphis,Tennessee,no,no,yes,$13514.7MM,https://www.internationalpaper.com,IP,$23261MM,18916.0,288.0,13514.7,23261.0,0,0,0
ManpowerGroup,219,$18914.5MM,$88.8MM,27900,Business Services,Milwaukee,Wisconsin,no,no,yes,$3756.3MM,https://www.manpowergroup.com,MAN,$8830.2MM,18914.5,88.8,3756.3,8830.2,0,0,0
Aramark,220,$18853.9MM,$674.1MM,262550,Business Services,Philadelphia,Pennsylvania,no,no,yes,$8535MM,https://www.aramark.com,ARMK,$16871.2MM,18853.9,674.1,8535.0,16871.2,0,0,0
Steel Dynamics,221,$18795.3MM,$2450.9MM,12600,Materials,Fort Wayne,Indiana,yes,no,yes,$23412.5MM,https://www.steeldynamics.com,STLD,$14908.4MM,18795.3,2450.9,23412.5,14908.4,0,0,0
Aflac,222,$18701MM,$4659MM,12785,Financials,Columbus,Georgia,no,no,yes,$49404.5MM,https://www.aflac.com,AFL,$126724MM,18701.0,4659.0,49404.5,126724.0,0,0,0
Reinsurance Group of America,223,$18567MM,$902MM,3900,Financials,Chesterfield,Missouri,no,no,yes,$12683.2MM,https://www.rgare.com,RGA,$97623MM,18567.0,902.0,12683.2,97623.0,0,0,0
Emerson Electric,224,$18370MM,$13219MM,67000,Industrials,St. Louis,Missouri,no,no,yes,$64842.2MM,https://www.emerson.com,EMR,$42746MM,18370.0,13219.0,64842.2,42746.0,0,0,0
State Street,225,$18366MM,$1944MM,46451,Financials,Boston,Massachusetts,no,no,yes,$23346.3MM,https://www.statestreet.com,STT,$297258MM,18366.0,1944.0,23346.3,297258.0,0,0,0
PPG Industries,226,$18246MM,$1270MM,53000,Chemicals,Pittsburgh,Pennsylvania,no,no,yes,$34103.8MM,https://www.ppg.com,PPG,$21647MM,18246.0,1270.0,34103.8,21647.0,0,0,0
United States Steel,227,$18053MM,$895MM,21803,Materials,Pittsburgh,Pennsylvania,no,no,yes,$9168MM,https://www.ussteel.com,X,$20451MM,18053.0,895.0,9168.0,20451.0,0,0,0
Automatic Data Processing,228,$18012.2MM,$3412MM,63000,Business Services,Roseland,New Jersey,no,yes,yes,$102590.8MM,https://www.adp.com,ADP,$50971MM,18012.2,3412.0,102590.8,50971.0,0,0,0
Group 1 Automotive,229,$17873.7MM,$601.6MM,16011,Retailing,Houston,Texas,no,no,yes,$3999.4MM,https://www.group1auto.com,GPI,$7774.1MM,17873.7,601.6,3999.4,7774.1,0,0,0
Dominion Energy,230,$17867MM,$1994MM,17700,Energy,Richmond,Virginia,no,no,yes,$41201.2MM,https://www.dominionenergy.com,D,$109032MM,17867.0,1994.0,41201.2,109032.0,0,0,0
BlackRock,231,$17859MM,$5502MM,19800,Financials,New York,New York,yes,no,yes,$124173.4MM,https://www.blackrock.com,BLK,$123211MM,17859.0,5502.0,124173.4,123211.0,0,0,0
Oneok,232,$17677MM,$2659MM,4775,Energy,Tulsa,Oklahoma,no,no,yes,$46751.9MM,https://www.oneok.com,OKE,$44266MM,17677.0,2659.0,46751.9,44266.0,0,0,0
C.H. Robinson Worldwide,233,$17596.4MM,$325.1MM,15246,Transportation,Eden Prairie,Minnesota,no,no,yes,$8907.9MM,https://www.chrobinson.com,CHRW,$5225.3MM,17596.4,325.1,8907.9,5225.3,0,0,0
Texas Instruments,234,$17519MM,$6510MM,34000,Technology,Dallas,Texas,no,no,yes,$158540.8MM,https://www.ti.com,TXN,$32348MM,17519.0,6510.0,158540.8,32348.0,0,0,0
Kohl's,235,$17476MM,$317MM,66000,Retailing,Menomonee Falls,Wisconsin,no,no,yes,$3232.9MM,https://www.kohls.com,KSS,$14009MM,17476.0,317.0,3232.9,14009.0,0,0,0
AutoZone,236,$17457.2MM,$2528.4MM,95200,Retailing,Memphis,Tennessee,no,no,yes,$54532.7MM,https://www.autozone.com,AZO,$15985.9MM,17457.2,2528.4,54532.7,15985.9,0,0,0
Lam Research,237,$17428.5MM,$4510.9MM,17200,Technology,Fremont,California,no,no,yes,$127375.7MM,https://www.lamresearch.com,LRCX,$18781.6MM,17428.5,4510.9,127375.7,18781.6,0,0,0
Corteva,238,$17226MM,$735MM,22500,"Food, Beverages & Tobacco",Indianapolis,Indiana,no,no,yes,$40304.4MM,https://www.corteva.com,CTVA,$42996MM,17226.0,735.0,40304.4,42996.0,0,0,0
Peter Kiewit Sons',239,$17118MM,$1176MM,31100,Engineering & Construction,Omaha,Nebraska,no,no,yes,$NAMM,https://www.kiewit.com,,$9724MM,17118.0,1176.0,,9724.0,0,0,0
Builders FirstSource,240,$17097.3MM,$1540.6MM,29000,Materials,Irving,Texas,no,no,yes,$25430.6MM,https://www.bldr.com,BLDR,$10499.5MM,17097.3,1540.6,25430.6,10499.5,0,0,0
Kyndryl Holdings,241,$17026MM,$-1374MM,90000,Technology,New York,New York,no,no,no,$5007MM,https://www.kyndryl.com,KD,$11464MM,17026.0,-1374.0,5007.0,11464.0,0,0,0
EchoStar,242,$17015.6MM,$-1702.1MM,15300,Telecommunications,Englewood,Colorado,no,no,no,$3869.1MM,https://www.echostar.com,SATS,$57108.9MM,17015.6,-1702.1,3869.1,57108.9,0,0,0
American Family Insurance Group,243,$16999.9MM,$-891MM,12417,Financials,Madison,Wisconsin,no,no,no,$NAMM,https://www.amfam.com,,$38023.5MM,16999.9,-891.0,,38023.5,0,0,0
Delek US Holdings,244,$16917.4MM,$19.8MM,3591,Energy,Brentwood,Tennessee,no,no,yes,$1968MM,https://www.delekus.com,DK,$7171.8MM,16917.4,19.8,1968.0,7171.8,0,0,0
Land O'Lakes,245,$16794.9MM,$254.2MM,9000,"Food, Beverages & Tobacco",Arden Hills,Minnesota,no,yes,yes,$NAMM,https://www.landolakesinc.com,,$9464.3MM,16794.9,254.2,,9464.3,0,0,0
Sempra,246,$16720MM,$3074MM,16835,Energy,San Diego,California,no,no,yes,$45438.8MM,https://www.sempra.com,SRE,$87181MM,16720.0,3074.0,45438.8,87181.0,0,0,0
Global Partners,247,$16492.2MM,$152.5MM,4273,Wholesalers,Waltham,Massachusetts,no,no,yes,$1508.7MM,https://www.globalp.com,GLP,$3446MM,16492.2,152.5,1508.7,3446.0,0,0,0
Grainger,248,$16478MM,$1829MM,24650,Wholesalers,Lake Forest,Illinois,no,no,yes,$49983.2MM,https://www.grainger.com,GWW,$8147MM,16478.0,1829.0,49983.2,8147.0,0,0,0
Jacobs Solutions,249,$16352.4MM,$665.8MM,58550,Business Services,Dallas,Texas,no,no,yes,$19316.3MM,https://www.jacobs.com,J,$14617.1MM,16352.4,665.8,19316.3,14617.1,0,0,0
Edison International,250,$16338MM,$1197MM,14346,Energy,Rosemead,California,no,no,yes,$27208.4MM,https://www.edisoninvestor.com,EIX,$81758MM,16338.0,1197.0,27208.4,81758.0,0,0,0
MGM Resorts International,251,$16164.2MM,$1142.2MM,67000,"Hotels, Restaurants & Leisure",Las Vegas,Nevada,no,no,yes,$14966.3MM,https://www.mgmresorts.com,MGM,$42368.5MM,16164.2,1142.2,14966.3,42368.5,0,0,0
Guardian Life Ins. Co. of America,252,$16137MM,$375MM,7561,Financials,New York,New York,no,no,yes,$NAMM,https://www.guardianlife.com,,$96202MM,16137.0,375.0,,96202.0,0,0,0
Illinois Tool Works,253,$16107MM,$2957MM,45000,Industrials,Glenview,Illinois,no,no,yes,$80162.3MM,https://www.itw.com,ITW,$15518MM,16107.0,2957.0,80162.3,15518.0,0,0,0
Ameriprise Financial,254,$16096MM,$2556MM,13800,Financials,Minneapolis,Minnesota,no,no,yes,$43927.7MM,https://www.ameriprise.com,AMP,$175191MM,16096.0,2556.0,43927.7,175191.0,0,0,0
PulteGroup,255,$16061.6MM,$2602.4MM,6382,Engineering & Construction,Atlanta,Georgia,no,no,yes,$25449.4MM,https://www.pultegroupinc.com,PHM,$16087.1MM,16061.6,2602.4,25449.4,16087.1,0,0,0
Targa Resources,256,$16060.3MM,$1345.9MM,3182,Energy,Houston,Texas,no,no,yes,$24921.7MM,https://www.targaresources.com,TRGP,$20671.8MM,16060.3,1345.9,24921.7,20671.8,0,0,0
Ally Financial,257,$15971MM,$1020MM,11100,Financials,Detroit,Michigan,no,no,yes,$12337.7MM,https://www.ally.com,ALLY,$196392MM,15971.0,1020.0,12337.7,196392.0,0,0,0
BorgWarner,258,$15921MM,$625MM,39900,Motor Vehicles & Parts,Auburn Hills,Michigan,no,no,yes,$8023.4MM,https://www.borgwarner.com,BWA,$14453MM,15921.0,625.0,8023.4,14453.0,0,0,0
Estée Lauder,259,$15910MM,$1006MM,53010,Household Products,New York,New York,no,no,yes,$55258.7MM,https://www.elcompanies.com,EL,$23415MM,15910.0,1006.0,55258.7,23415.0,0,0,0
Loews,260,$15901MM,$1434MM,12280,Financials,New York,New York,no,no,yes,$17396.1MM,https://www.loews.com,L,$79197MM,15901.0,1434.0,17396.1,79197.0,0,0,0
O'Reilly Automotive,261,$15812.3MM,$2346.6MM,82958,Retailing,Springfield,Missouri,no,no,yes,$66634.4MM,https://www.oreillyauto.com,ORLY,$13873MM,15812.3,2346.6,66634.4,13873.0,0,0,0
Markel Group,262,$15803.6MM,$1996.1MM,21600,Financials,Glen Allen,Virginia,no,no,yes,$19946.7MM,https://www.mklgroup.com,MKL,$55045.7MM,15803.6,1996.1,19946.7,55045.7,0,0,0
Stanley Black & Decker,263,$15781.1MM,$-310.5MM,50500,Household Products,New Britain,Connecticut,no,no,no,$15062MM,https://www.stanleyblackanddecker.com,SWK,$23663.8MM,15781.1,-310.5,15062.0,23663.8,0,0,0
Micron Technology,264,$15540MM,$-5833MM,43000,Technology,Boise,Idaho,no,no,no,$130547.6MM,https://www.micron.com,MU,$64254MM,15540.0,-5833.0,130547.6,64254.0,0,0,0
Fluor,265,$15474MM,$139MM,30187,Engineering & Construction,Irving,Texas,no,no,yes,$7192.3MM,https://www.fluor.com,FLR,$6973MM,15474.0,139.0,7192.3,6973.0,0,0,0
Leidos Holdings,266,$15438MM,$199MM,47000,Technology,Reston,Virginia,no,no,yes,$17700.6MM,https://www.leidos.com,LDOS,$12695MM,15438.0,199.0,17700.6,12695.0,0,0,0
Viatris,267,$15426.9MM,$54.7MM,38000,Health Care,Canonsburg,Pennsylvania,no,no,yes,$14179.6MM,https://www.viatris.com,VTRS,$47685.5MM,15426.9,54.7,14179.6,47685.5,0,0,0
Kinder Morgan,268,$15334MM,$2391MM,10891,Energy,Houston,Texas,no,yes,yes,$40703.3MM,https://www.kindermorgan.com,KMI,$71020MM,15334.0,2391.0,40703.3,71020.0,0,0,0
Ecolab,269,$15320.2MM,$1372.3MM,48000,Chemicals,St. Paul,Minnesota,no,no,yes,$66017.1MM,https://www.ecolab.com,ECL,$21846.6MM,15320.2,1372.3,66017.1,21846.6,0,0,0
Baxter International,270,$15282MM,$2656MM,60000,Health Care,Deerfield,Illinois,no,no,yes,$21704.5MM,https://www.baxter.com,BAX,$28276MM,15282.0,2656.0,21704.5,28276.0,0,0,0
Devon Energy,271,$15258MM,$3747MM,1900,Energy,Oklahoma City,Oklahoma,no,no,yes,$31864.3MM,https://www.devonenergy.com,DVN,$24490MM,15258.0,3747.0,31864.3,24490.0,0,0,0
Kellanova,272,$15207MM,$951MM,23000,"Food, Beverages & Tobacco",Chicago,Illinois,no,no,yes,$19579.4MM,https://www.kellanova.com,K,$15621MM,15207.0,951.0,19579.4,15621.0,0,0,0
Farmers Insurance Exchange,273,$15194.4MM,$-652.9MM,9685,Financials,Woodland Hills,California,no,no,no,$NAMM,https://www.farmers.com,,$23677.7MM,15194.4,-652.9,,23677.7,0,0,0
Casey's General Stores,274,$15094.5MM,$446.7MM,31637,Retailing,Ankeny,Iowa,no,no,yes,$11788.1MM,https://www.caseys.com,CASY,$5943.3MM,15094.5,446.7,11788.1,5943.3,0,0,0
IQVIA Holdings,275,$14984MM,$1358MM,87000,Health Care,Durham,North Carolina,no,no,yes,$46029.4MM,https://www.iqvia.com,IQV,$26681MM,14984.0,1358.0,46029.4,26681.0,0,0,0
Republic Services,276,$14964.5MM,$1731MM,41000,Business Services,Phoenix,Arizona,no,no,yes,$60229MM,https://www.republicservices.com,RSG,$31410.1MM,14964.5,1731.0,60229.0,31410.1,0,0,0
Fox,277,$14913MM,$1239MM,10400,Media,New York,New York,no,no,yes,$14225.1MM,https://www.foxcorporation.com,FOXA,$21866MM,14913.0,1239.0,14225.1,21866.0,0,0,0
Gap,278,$14889MM,$502MM,85000,Retailing,San Francisco,California,no,no,yes,$10290.3MM,https://www.gapinc.com,GPS,$11044MM,14889.0,502.0,10290.3,11044.0,0,0,0
Keurig Dr Pepper,279,$14814MM,$2181MM,28100,"Food, Beverages & Tobacco",Burlington,Massachusetts,no,no,yes,$42557.4MM,https://keurig.com,KDP,$52130MM,14814.0,2181.0,42557.4,52130.0,0,0,0
Reliance,280,$14805.9MM,$1335.9MM,15250,Materials,Scottsdale,Arizona,no,yes,yes,$19190.4MM,https://reliance.com,RS,$10480.3MM,14805.9,1335.9,19190.4,10480.3,0,0,0
Asbury Automotive Group,281,$14802.7MM,$602.5MM,15000,Retailing,Duluth,Georgia,no,no,yes,$4810.9MM,https://www.asburyauto.com,ABG,$10159.4MM,14802.7,602.5,4810.9,10159.4,0,0,0
Pacific Life,282,$14802MM,$875MM,4181,Financials,Newport Beach,California,no,no,yes,$NAMM,https://www.pacificlife.com,,$217386MM,14802.0,875.0,,217386.0,0,0,0
Vistra,283,$14779MM,$1493MM,4870,Energy,Irving,Texas,no,no,yes,$24230.2MM,https://www.vistracorp.com,VST,$32966MM,14779.0,1493.0,24230.2,32966.0,0,0,0
Western & Southern Financial Group,284,$14775.1MM,$484.8MM,2669,Financials,Cincinnati,Ohio,no,no,yes,$NAMM,https://www.westernsouthern.com,,$75968.9MM,14775.1,484.8,,75968.9,0,0,0
Andersons,285,$14750.1MM,$101.2MM,2297,"Food, Beverages & Tobacco",Maumee,Ohio,no,no,yes,$1953.4MM,https://www.andersonsinc.com,ANDE,$3855MM,14750.1,101.2,1953.4,3855.0,0,0,0
Nordstrom,286,$14693MM,$134MM,54000,Retailing,Seattle,Washington,no,no,yes,$3309.2MM,https://www.nordstrom.com,JWN,$8444MM,14693.0,134.0,3309.2,8444.0,0,0,0
Omnicom Group,287,$14692.2MM,$1391.4MM,75900,Business Services,New York,New York,no,no,yes,$19081.1MM,https://www.omnicomgroup.com,OMC,$28044.6MM,14692.2,1391.4,19081.1,28044.6,0,0,0
Fidelity National Information Services,288,$14680MM,$-6654MM,60000,Business Services,Jacksonville,Florida,no,yes,no,$42762.2MM,https://www.fisglobal.com,FIS,$55105MM,14680.0,-6654.0,42762.2,55105.0,0,0,0
Consolidated Edison,289,$14663MM,$2519MM,14592,Energy,New York,New York,no,no,yes,$31375.8MM,https://www.conedison.com,ED,$66331MM,14663.0,2519.0,31375.8,66331.0,0,0,0
CSX,290,$14657MM,$3715MM,23232,Transportation,Jacksonville,Florida,no,no,yes,$72568MM,https://www.csx.com,CSX,$42408MM,14657.0,3715.0,72568.0,42408.0,0,0,0
AECOM,291,$14591.3MM,$55.3MM,52000,Engineering & Construction,Dallas,Texas,no,no,yes,$13341.2MM,https://www.aecom.com,ACM,$11233.4MM,14591.3,55.3,13341.2,11233.4,0,0,0
Lumen Technologies,292,$14557MM,$-10298MM,28000,Telecommunications,Monroe,Louisiana,no,yes,no,$1585MM,https://www.lumen.com,LUMN,$34018MM,14557.0,-10298.0,1585.0,34018.0,1,0,1
Tractor Supply,293,$14555.7MM,$1107.2MM,37500,Retailing,Brentwood,Tennessee,no,no,yes,$28248MM,https://www.tractorsupply.com,TSCO,$9188.2MM,14555.7,1107.2,28248.0,9188.2,0,0,0
DXC Technology,294,$14430MM,$-568MM,130000,Technology,Ashburn,Virginia,no,no,no,$3878.7MM,https://www.dxc.technology,DXC,$15845MM,14430.0,-568.0,3878.7,15845.0,0,0,0
AGCO,295,$14412.4MM,$1171.4MM,27900,Industrials,Duluth,Georgia,no,no,yes,$9179.5MM,https://www.agcocorp.com,AGCO,$11421.2MM,14412.4,1171.4,9179.5,11421.2,0,0,0
Sonic Automotive,296,$14372.4MM,$178.2MM,10500,Retailing,Charlotte,North Carolina,no,no,yes,$1941.7MM,https://www.sonicautomotive.com,SAH,$5364.6MM,14372.4,178.2,1941.7,5364.6,0,0,0
Intuit,297,$14368MM,$2384MM,22900,Technology,Mountain View,California,no,no,yes,$181986.4MM,https://www.intuit.com,INTU,$27780MM,14368.0,2384.0,181986.4,27780.0,2,0,1
United Rentals,298,$14332MM,$2424MM,26300,Business Services,Stamford,Connecticut,no,no,yes,$48437.2MM,https://www.unitedrentals.com,URI,$25589MM,14332.0,2424.0,48437.2,25589.0,0,0,0
Universal Health Services,299,$14282MM,$717.8MM,85025,Health Care,King of Prussia,Pennsylvania,no,no,yes,$12265.2MM,https://www.uhs.com,UHS,$13967.6MM,14282.0,717.8,12265.2,13967.6,0,0,0
Boston Scientific,300,$14240MM,$1592MM,48000,Health Care,Marlborough,Massachusetts,no,no,yes,$100673.1MM,https://www.bostonscientific.com,BSX,$35136MM,14240.0,1592.0,100673.1,35136.0,0,0,0
Otis Worldwide,301,$14209MM,$1406MM,71000,Industrials,Farmington,Connecticut,no,yes,yes,$40249.5MM,https://www.otis.com,OTIS,$10117MM,14209.0,1406.0,40249.5,10117.0,0,0,0
Xcel Energy,302,$14206MM,$1771MM,11311,Energy,Minneapolis,Minnesota,no,no,yes,$29839.6MM,https://www.xcelenergy.com,XEL,$64079MM,14206.0,1771.0,29839.6,64079.0,0,0,0
Edward Jones,303,$14080MM,$1612MM,54000,Financials,Des Peres,Missouri,no,yes,yes,$NAMM,https://www.edwardjones.com,,$28003MM,14080.0,1612.0,,28003.0,0,0,0
Ball,304,$14029MM,$707MM,21000,Materials,Westminster,Colorado,no,no,yes,$21206.3MM,https://www.ball.com,BALL,$19303MM,14029.0,707.0,21206.3,19303.0,0,0,0
LKQ,305,$13866MM,$936MM,49000,Wholesalers,Chicago,Illinois,no,no,yes,$14248.5MM,https://www.lkqcorp.com,LKQ,$15079MM,13866.0,936.0,14248.5,15079.0,0,0,0
Mutual of Omaha,306,$13855.8MM,$47.7MM,6231,Financials,Omaha,Nebraska,no,no,yes,$NAMM,https://www.mutualofomaha.com,,$51838.6MM,13855.8,47.7,,51838.6,0,0,0
Mosaic,307,$13696.1MM,$1164.9MM,14049,Chemicals,Tampa,Florida,no,no,yes,$10442MM,https://www.mosaicco.com,MOS,$23032.8MM,13696.1,1164.9,10442.0,23032.8,0,0,0
Textron,308,$13683MM,$921MM,35000,Aerospace & Defense,Providence,Rhode Island,no,no,yes,$18500.5MM,https://www.textron.com,TXT,$16856MM,13683.0,921.0,18500.5,16856.0,0,0,0
Labcorp Holdings,309,$13668.2MM,$418MM,61975,Health Care,Burlington,North Carolina,no,no,yes,$18372.5MM,https://www.labcorp.com,LH,$16725.1MM,13668.2,418.0,18372.5,16725.1,0,0,0
Principal Financial,310,$13665.8MM,$623.2MM,19800,Financials,Des Moines,Iowa,no,no,yes,$20357.8MM,https://www.principal.com,PFG,$305046.7MM,13665.8,623.2,20357.8,305046.7,0,0,0
Regeneron Pharmaceuticals,311,$13117.2MM,$3953.6MM,13450,Health Care,Tarrytown,New York,yes,no,yes,$105644.7MM,https://www.regeneron.com,REGN,$33080.2MM,13117.2,3953.6,105644.7,33080.2,0,0,0
Raymond James Financial,312,$12992MM,$1739MM,18000,Financials,St. Petersburg,Florida,no,no,yes,$26843.3MM,https://www.raymondjames.com,RJF,$78360MM,12992.0,1739.0,26843.3,78360.0,0,0,0
Dick's Sporting Goods,313,$12984.4MM,$1046.5MM,37200,Retailing,Coraopolis,Pennsylvania,no,yes,yes,$18539.3MM,https://www.dickssportinggoods.com,DKS,$9311.8MM,12984.4,1046.5,18539.3,9311.8,0,0,0
Auto-Owners Insurance,314,$12937.7MM,$-912.4MM,6946,Financials,Lansing,Michigan,no,no,no,$NAMM,https://www.auto-owners.com,,$36238.2MM,12937.7,-912.4,,36238.2,0,0,0
Expedia Group,315,$12839MM,$797MM,17100,Retailing,Seattle,Washington,no,yes,yes,$18773.7MM,https://www.expediagroup.com,EXPE,$21642MM,12839.0,797.0,18773.7,21642.0,0,0,0
J.B. Hunt Transport Services,316,$12829.7MM,$728.3MM,34718,Transportation,Lowell,Arkansas,no,no,yes,$20582.2MM,https://www.jbhunt.com,JBHT,$8538.3MM,12829.7,728.3,20582.2,8538.3,0,0,0
M&T Bank,317,$12752MM,$2741MM,21980,Financials,Buffalo,New York,no,no,yes,$24233.4MM,https://www.mtb.com,MTB,$208264MM,12752.0,2741.0,24233.4,208264.0,0,0,0
DTE Energy,318,$12745MM,$1397MM,9950,Energy,Detroit,Michigan,no,no,yes,$23204.6MM,https://www.dteenergy.com,DTE,$44755MM,12745.0,1397.0,23204.6,44755.0,0,0,0
AES,319,$12668MM,$249MM,9600,Energy,Arlington,Virginia,no,no,yes,$12744.8MM,https://www.aes.com,AES,$44799MM,12668.0,249.0,12744.8,44799.0,1,0,1
Berry Global Group,320,$12664MM,$609MM,44000,Materials,Evansville,Indiana,no,no,yes,$7009.6MM,https://www.berryglobal.com,BERY,$16587MM,12664.0,609.0,7009.6,16587.0,0,0,0
Fifth Third Bancorp,321,$12641MM,$2349MM,18724,Financials,Cincinnati,Ohio,no,no,yes,$25434.9MM,https://www.53.com,FITB,$214574MM,12641.0,2349.0,25434.9,214574.0,0,0,0
Air Products & Chemicals,322,$12600MM,$2300.2MM,21850,Chemicals,Allentown,Pennsylvania,no,no,yes,$53856.9MM,https://www.airproducts.com,APD,$32002.5MM,12600.0,2300.2,53856.9,32002.5,0,0,0
Corning,323,$12588MM,$581MM,49800,Industrials,Corning,New York,no,no,yes,$28192.4MM,https://www.corning.com,GLW,$28500MM,12588.0,581.0,28192.4,28500.0,0,0,0
EMCOR Group,324,$12582.9MM,$633MM,38300,Engineering & Construction,Norwalk,Connecticut,no,no,yes,$16482.1MM,https://www.emcorgroup.com,EME,$6609.7MM,12582.9,633.0,16482.1,6609.7,0,0,0
Amphenol,325,$12554.7MM,$1928MM,95000,Technology,Wallingford,Connecticut,no,no,yes,$69193.3MM,https://www.amphenol.com,APH,$16526.4MM,12554.7,1928.0,69193.3,16526.4,0,0,0
Westlake,326,$12548MM,$479MM,15520,Chemicals,Houston,Texas,no,no,yes,$19636.5MM,https://www.westlake.com,WLK,$21035MM,12548.0,479.0,19636.5,21035.0,0,0,0
DuPont,327,$12528MM,$423MM,24000,Chemicals,Wilmington,Delaware,no,no,yes,$32016.1MM,https://www.dupont.com,DD,$38552MM,12528.0,423.0,32016.1,38552.0,0,0,0
Liberty Media,328,$12525MM,$761MM,6486,Media,Englewood,Colorado,no,no,yes,$9699.7MM,https://www.libertymedia.com,LSXMA,$41168MM,12525.0,761.0,9699.7,41168.0,0,0,0
S&P Global,329,$12497MM,$2626MM,40450,Business Services,New York,New York,no,no,yes,$136253.3MM,https://www.spglobal.com,SPGI,$60589MM,12497.0,2626.0,136253.3,60589.0,0,0,0
Community Health Systems,330,$12490MM,$-133MM,54500,Health Care,Franklin,Tennessee,no,no,no,$486.4MM,https://www.chs.net,CYH,$14455MM,12490.0,-133.0,486.4,14455.0,0,0,0
FirstEnergy,331,$12450MM,$1102MM,12042,Energy,Akron,Ohio,no,no,yes,$22226.4MM,https://www.firstenergycorp.com,FE,$48767MM,12450.0,1102.0,22226.4,48767.0,0,0,0
Unum Group,332,$12385.9MM,$1283.8MM,10683,Financials,Chattanooga,Tennessee,no,no,yes,$10298.6MM,https://www.unum.com,UNM,$63255.2MM,12385.9,1283.8,10298.6,63255.2,0,0,0
Henry Schein,333,$12339MM,$416MM,25000,Health Care,Melville,New York,no,no,yes,$9704.8MM,https://www.henryschein.com,HSIC,$10573MM,12339.0,416.0,9704.8,10573.0,0,0,0
Western Digital,334,$12318MM,$-1706MM,53000,Technology,San Jose,California,no,no,no,$22278.8MM,https://www.westerndigital.com,WDC,$24429MM,12318.0,-1706.0,22278.8,24429.0,0,0,0
Analog Devices,335,$12305.5MM,$3314.6MM,26000,Technology,Wilmington,Massachusetts,no,no,yes,$98085.7MM,https://www.analog.com,ADI,$48794.5MM,12305.5,3314.6,98085.7,48794.5,0,0,0
Conagra Brands,336,$12277MM,$683.6MM,18600,"Food, Beverages & Tobacco",Chicago,Illinois,no,no,yes,$14168.1MM,https://www.conagrabrands.com,CAG,$22052.6MM,12277.0,683.6,14168.1,22052.6,0,0,0
Citizens Financial Group,337,$12187MM,$1608MM,17570,Financials,Providence,Rhode Island,no,no,yes,$16635.3MM,https://www.citizensbank.com,CFG,$221964MM,12187.0,1608.0,16635.3,221964.0,0,0,0
Norfolk Southern,338,$12156MM,$1827MM,20700,Transportation,Atlanta,Georgia,no,no,yes,$57570.4MM,https://www.norfolksouthern.com,NSC,$41652MM,12156.0,1827.0,57570.4,41652.0,0,0,0
Entergy,339,$12147.4MM,$2356.5MM,12177,Energy,New Orleans,Louisiana,no,no,yes,$22535.5MM,https://www.entergy.com,ETR,$59703.4MM,12147.4,2356.5,22535.5,59703.4,0,0,0
